linreg_spikes,knn_spikes,rf_spikes,linreg_sents,knn_sents,rf_sents
21.18960361833297,14.456217036417666,10.440546739631563,17.89419001055794,13.37699342014331,5.046293362958946
20.18500584492118,13.896069537155572,10.122087792728317,17.179770588797002,12.849683397071374,4.887069651633927
20.87564397654071,14.268738292744693,10.578520400000865,17.897598999282106,13.331603407315125,5.015657651013097
21.364540851448474,14.543038364573466,10.65349211312342,18.006676641018053,13.367317765669984,5.051578342803124
20.771097780298213,14.59445916265467,10.509574096084975,17.793950235138105,13.31018006083528,5.0685943698228195
21.052473443653874,14.49913190287046,10.744525872971886,18.132489527905136,13.457427111436122,5.070567273044343
20.83440162167018,14.514743672623112,10.565005938869012,17.869478103615293,13.417558576704687,5.028355870643007
20.986320325348245,14.35586175412709,10.544059450080388,18.049520087089363,13.415077918439028,5.011511194985502
20.95925481942324,14.455860823757085,10.558380696432739,17.819546126125573,13.171449985518452,5.044768852046459
20.964748492358545,14.386808284641935,10.609794724279794,17.98863492583918,13.428029930256717,5.149488155277397
